sasdate,RPI,INDPRO,UNRATE,UEMPLT5,UEMPMEAN,DPCERA3M086SBEA,M2REAL,AAA,CPIAUCSL,S&P div yield
2/1/1959,0.004270717259423707,0.019396687802955562,-0.016807118316381174,-0.01278789804975584,-0.05032508388751577,0.010336150647461953,0.004242430605428546,0.004842624475787991,-0.0003447681468386594,0.019184345312269188
3/1/1959,0.00641527991278967,0.01430343509592973,-0.05218575317057031,-0.06308098240480713,-0.012987195526811079,0.009476177585019925,0.006229923686522734,-0.002418380864281527,-0.0010350182052150316,-0.0212866809925758
4/1/1959,0.006073808760506414,0.021076556567768696,-0.07410797215372172,0.02370581716997705,-0.02649161544697634,-0.0036174215404813077,0.0027009469728410036,0.023924586085245243,0.0003451251112773196,-0.012838077812402947
5/1/1959,0.0059944516901453485,0.014950113587456062,-0.01941808585710174,-0.010090902981962831,-0.013513719166722933,0.011936267313918645,0.0051813587419975845,0.03256101604931201,0.0020682530640590605,-0.01120742367762081
6/1/1959,0.003324244452305404,0.0011434183499824271,-0.019802627296179643,0.028659075710831306,0.013513719166722855,0.0036810839400709928,0.004066457376468402,0.02038575692447396,0.002407567800936445,0.012397280743225728
7/1/1959,-0.0007661530978330077,-0.024238477299626218,0.01980262729617973,0.04433748991615563,-0.0411016756855518,-0.0033604512220995766,0.002372714904552858,0.00223964259350466,0.0013731550389696069,-0.035193427408583784
8/1/1959,-0.005422381622584613,-0.03446647581740193,0.01941808585710173,0.01000633739972576,-0.0428637044317825,0.00596635053492618,0.003056448028905321,-0.008988824568433218,0.0010286302981382426,0.009407590616078529
9/1/1959,0.0003852327495473622,-0.0012080834866489071,0.05608946665104358,-0.003116238109208107,0.0,0.009988192431243091,-0.0013791746841831803,0.02011240978709547,0.0023960305832260317,0.04405803945602622
10/1/1959,0.0017530736718475493,-0.007292941542864204,0.035718082602079246,0.0883629392892552,-0.060168521466452726,-0.006859461256429988,-0.004148973649009195,0.011001211061973583,0.0034129725962399426,0.004555118194618671
11/1/1959,0.0074482692019606205,0.006078880857705858,0.01739174271186902,-0.002861232281032235,0.015384918839479456,-0.00042366150080279407,0.0020766385707537633,-0.002190581379818809,0.0,-0.0003676240176052472
12/1/1959,0.009537546977036031,0.05998367893885324,-0.09015109699429745,-0.051745817209964684,0.0,-0.0011129661694207194,0.0002963109311027467,0.004376374599799003,0.0020422062917981616,-0.027824172422361088
1/1/1960,0.004316764524871478,0.025915396537812885,-0.019048194970694363,-0.011532753013548232,0.030077455237277954,0.0027536556268805096,0.002662854771368104,0.006528858882463631,-0.0013610073553749723,0.037433885810622285
2/1/1960,0.0006688963460103853,-0.008937532565382687,-0.0800427076735365,-0.13510248485656381,-0.03007745523727795,0.0043796075597329134,-0.0002955228312892317,-0.01090523348226258,0.001361007355374997,0.05899362505914189
3/1/1960,0.001837161268291862,-0.00901813296378836,0.11778303565638365,0.1520520431703371,-0.007662872745569137,0.01406375290857344,0.0029513056345803197,-0.015469921772131665,0.0,0.03280161610810834
4/1/1960,0.003497963090289112,-0.007959731008641783,-0.037740327982847086,0.040581869654171515,-0.031252543504104426,0.015352421467998607,-0.0020649990129687737,-0.008948605576014033,0.004410524537330006,-0.011106822679732729
5/1/1960,0.00253254032770543,-0.0011404693330735454,-0.01941808585710174,-0.009846589836758835,-0.05715841383994852,-0.02034878868510078,0.0016719944883584112,0.002244669853823728,0.0010150567611521414,0.01091061912957594
6/1/1960,0.00045600581161232877,-0.012653325361249922,0.05715841383994883,0.011574203281136706,0.0,-0.0002609126740087993,0.0032376775891120326,-0.002244669853823862,0.001351808249114008,-0.03456794106343071
7/1/1960,0.0010356041604078308,-0.003477302787010021,0.0183491386681964,-0.016826622709746445,0.05715841383994862,0.002033315786174233,0.00800004266707615,-0.009029406719394265,-0.0020283982613926096,0.025111841171441763
8/1/1960,-0.0005383803165680632,-0.0011603491008152454,0.018018505502678212,0.021419053283956577,-0.032260862218221435,-0.0009379397279762804,0.007165019033788374,-0.029921679865049157,0.002028398261392619,-0.011927155323993863
9/1/1960,0.0014901898609982317,-0.01052169115795816,-0.01801850550267825,-0.04032097457633863,0.05579135962841572,0.004784698123336253,0.004812328825192479,-0.007034026657380048,0.0,0.030544954658598696
10/1/1960,0.002850005026931829,-0.0011739918380464498,0.10354067894084036,0.051710619340696415,0.0454623740767572,0.004813549316499152,-0.0011528486241771602,0.011696039763191236,0.004716989878138867,0.01990115430483345
11/1/1960,-0.004547341444859388,-0.014218698823321675,0.0,-0.027556278619704683,0.02919915469226235,-0.0034654908347550623,0.0035503563657345114,0.0023228814161397287,0.0010078952642242893,-0.03187082934256697
12/1/1960,-0.0051926588792943415,-0.019279836434526004,0.07878087785311438,0.2017284488926958,-0.11419236752565488,-0.012303356114398858,0.0038240964384034758,0.00923794098493636,0.0010068804341171619,-0.02369399148452662
1/1/1961,0.009740000324153855,0.0012184876408781657,0.0,-0.10949209630058812,0.09969936022308797,0.0025146702270674713,0.00437970803869098,-0.006920442844573683,0.0010058676455800926,-0.051839799107316294
2/1/1961,0.003951760792461668,-0.0012184876408782995,0.04445176257083401,0.07808096109049738,-0.007326040092072898,0.003708060130692144,0.007665773591746053,-0.011641575015485978,0.0,-0.04192281974147309
3/1/1961,0.0037725062168559847,0.006064130068955455,0.0,-0.08929004562521739,0.036105004642116356,0.01233048468911361,0.00564070312001259,-0.011778699192612763,0.0,-0.03259878281179693
