Time,IDX0GBPEURCR,IDX0USDEURCR,ER01,ER02,HE00,H0A0,EU0009658152,FTPTT100,GDUEEGF,MSCI0GDLETCF,SPTR,NASDAQ100,IDX00GOLDBUL,IDX000WTIOIL,IDX00DJUBSCM
12/17/1999,-0.005439,0.005187,-0.002415,-0.006885,0.000291,-0.003064,0.01799,-0.002032,-2.3e-05,-0.005019,0.003114,0.048881,0.016015,0.059849,0.035336
12/24/1999,0.0053100000000000005,-0.001748,0.00117,0.001797,0.0013289999999999999,-0.000162,0.053527,0.012479,0.029875,-0.049007,0.026418,0.06858,0.010528000000000001,-0.038145,-0.004499
12/31/1999,0.002538,0.002802,-6.2e-05,-0.0030629999999999998,-0.00010800000000000001,7.7e-05,0.025791,0.018659000000000002,0.040749,0.034135000000000006,0.007640000000000001,0.032741,0.00381,-0.004666,-0.002207
1/7/2000,-0.005185,-0.01971,0.000487,-0.0006450000000000001,-0.007864,-0.005217,-0.052177,-0.061311000000000004,0.006625,0.041460000000000004,-0.018586000000000002,-0.048069,-0.021766,-0.053905999999999996,-0.016513
1/14/2000,0.01267,0.017618,0.001018,-0.000408,0.00352,-0.00035299999999999996,0.039087000000000004,0.023587999999999998,0.047896,-0.059177999999999994,0.016538999999999998,0.04962,0.014126,0.156895,0.049177
1/21/2000,0.013606,0.002893,0.00011499999999999999,-0.0018440000000000002,0.006357,0.000712,-0.022792,-0.046771,-0.015462,-0.017141999999999998,-0.016181,0.039198000000000004,0.017397,0.063526,0.023676
1/28/2000,0.018567,0.036531,-0.000814,-0.0021190000000000002,0.0034939999999999997,0.001318,0.013275,0.004745,-0.016527,-0.001573,-0.056149,-0.10489200000000001,-0.021565,-0.086577,-0.009777
2/4/2000,-0.02547,-0.008154,0.001451,0.004145,-0.002409,0.0010550000000000002,0.070712,-0.029749,0.032833,-0.01581,0.047437,0.124267,0.094409,0.05878,0.025421
2/11/2000,-0.0027170000000000002,-0.0038640000000000002,6.2e-05,-0.0019030000000000002,0.002539,0.000768,0.014823,0.001355,0.027239,-0.102311,-0.025758999999999997,0.024396,0.0019210000000000002,0.021513,-0.0017230000000000001
2/18/2000,0.009021,0.004145,-0.000539,8.499999999999999e-05,0.001468,0.00121,-0.022343000000000002,-0.004576,-0.020447999999999997,0.042736,-0.029341000000000002,-0.000791,-0.020101,0.002378,-0.004376
2/25/2000,0.005946,0.00971,0.0029,0.006169,0.004728,0.00098,0.025618000000000002,0.0069689999999999995,-0.024891,-0.10477,-0.009248000000000001,0.05366699999999999,-0.041306,0.024399,-0.0073420000000000004
