;IDX0AUDEURCR;IDX0CHFEURCR;IDX0GBPEURCR;IDX0JPYEURCR;IDX0NOKEURCR;IDX0USDEURCR;IDX0BRLEURCR;IDX0MXNEURCR;IDX0IDREURCR;IDX0INREURCR;IDX0PHPEURCR;IDX0CNYUSDCR;IDX0SGDEURCR;JPMIT1T3;JPMIT3T5;JPMIT5T7;JPMES3T5;JPMES5T7;JPMPT3T5;JPMPT5T7;JPMEMU1T3;JPMEMUGBI;JPMDE5T7;JPMDE7T10;JPMUS3T5;JPMUS5T7;JPMUS7T10;JPILUILA;JPEIGLBL;JGENEMUL;JPEG103;JPEG305;JPEE13YR;JPEE35YR;ER01;ER02;HE00;H0A0;IDX0LX10TUUU;IDX0DBCDXHY5;IDX0DBCDIU5T;IDX0ITRXPX5I;EU0009658152;IDX00000SX7T;SWISSMIC;FTPTT100;GDUEEGF;MSCI0GDLETCF;SPTR;IDX0SPTRFINL;NASDAQ100;NIKKEITR;IDX00GOLDBUL;IDX000WTIOIL;IDX00DJUBSCM;IT0000000BOT;JPMCASH3M
09-ago-01;115.6927;103.7354;119.0989;112.0708;120.9619;138.2773;90.679;216.4997;163.5616;149.1043;129.3599;110.4559;118.9205;177.1769;200.7138;251.5842;185.1831;219.7307;190.2978;219.8404;148.0733;172.2628;163.5299;168.0193;284.872;306.536;319.035;-9999;202.49;-9999;139.13598;144.87974;114.40976;134.50817;123.336;130.145;88.064;366.947;-9999;-9999;-9999;-9999;4972.04;397.75;8617.4;2541.21;420.835;21.768;1659.756;426.64;1628.92;-9999;160.81;27.64;102.9786;232.85;250.787
10-ago-01;115.598;103.2848;118.7714;111.823;120.259;138.1029;91.1906;217.0979;164.8789;148.9968;131.8536;110.4661;119.0618;177.3607;201.0618;252.1126;185.4665;220.2249;190.5717;220.2834;148.2128;172.6731;163.8814;168.4966;285.422;307.291;320.036;-9999;202.69;-9999;139.57103;144.7487;114.67724;134.83404;123.452;130.3;88.097;366.679;-9999;-9999;-9999;-9999;4899.9;393.83;8490;2552.63;422.503;21.637;1669.206;427.84;1617.45;-9999;161.16;28.05;103.5079;232.93;250.832
13-ago-01;116.2116;103.0079;118.039;110.9816;119.6953;137.621;89.6162;215.9261;174.1428;148.4942;133.1676;110.4656;118.8296;177.3551;201.0391;252.1622;185.4483;220.243;190.5466;220.3132;148.2088;172.7173;163.9031;168.5844;285.918;307.885;320.675;-9999;202.4;-9999;139.67244;144.7853;114.88624;134.67717;123.496;130.356;87.698;366.804;-9999;-9999;-9999;-9999;4959.41;396.34;8598.2;2554.45;424.144;21.775;1670.962;427.64;1653.27;-9999;162.2;27.82;103.7973;233.01;250.935
14-ago-01;116.3554;103.1223;117.9583;110.8097;119.6924;136.5955;88.5265;213.7923;175.2828;147.4531;132.4746;110.4692;117.9454;177.3434;200.8479;251.8023;185.2824;219.8728;190.4207;219.9269;148.1855;172.4127;163.6219;168.1521;285.754;307.655;320.446;-9999;201.05;-9999;138.44762;144.07175;114.63208;134.45877;123.436;130.191;87.697;366.851;-9999;-9999;-9999;-9999;5023.41;402.49;8740.3;2590.52;428.461;22.666;1664.611;426.95;1629.95;-9999;162.49;28.02;103.8455;233.06;250.964
15-ago-01;-9999;-9999;-9999;-9999;-9999;-9999;88.3906;212.5994;167.5727;145.7082;130.3704;110.4725;117.3243;177.3434;200.8479;251.8023;185.2824;219.8728;190.4207;219.9269;-9999;-9999;163.8916;168.4071;285.264;307.143;319.916;-9999;202.36;-9999;139.61628;144.60675;114.207;134.29049;123.508;130.313;87.21;366.752;-9999;-9999;-9999;-9999;4985.14;402.76;8683.4;2574.31;428.197;23.054;1652.713;426.28;1572.03;-9999;162.09;27.56;103.7836;-9999;250.993
16-ago-01;115.8535;102.8602;118.1579;111.0142;119.642;135.3429;88.3301;213.0007;168.6;146.1368;131.9213;110.477;117.5228;177.4062;201.0449;252.0633;185.4032;220.1368;190.5858;220.1337;148.2456;172.5786;163.8616;168.4432;285.726;308.051;321.084;-9999;204.35;-9999;141.01581;145.25213;114.58787;134.75952;123.534;130.264;86.898;366.798;-9999;-9999;-9999;-9999;4926.78;401.32;8603.7;2540.46;427.232;21.587;1657.875;424.75;1581.98;-9999;161.8;27.41;103.1924;233.11;251.021
17-ago-01;117.5116;102.7585;117.3554;110.3146;119.0748;134.3511;87.0753;210.3409;167.4565;145.0982;130.2899;110.4803;116.4299;177.6034;201.5456;252.9412;185.7684;220.9031;190.9611;220.8406;148.399;173.1333;164.4086;169.1784;286.763;309.664;323.163;-9999;201.52;-9999;138.67178;144.44882;114.45324;134.58015;123.646;130.487;86.764;366.503;-9999;-9999;-9999;-9999;4813.46;394.99;8537;2518;420.908;20.804;1630.345;418.55;1516.58;-9999;164.18;26.69;102.864;233.14;251.05
20-ago-01;117.3198;102.9446;117.7399;110.2962;119.1416;134.9049;87.5048;211.3117;172.6805;145.7291;130.4278;110.4861;116.3729;177.6385;201.4841;252.7579;185.7204;220.7354;190.9354;220.7142;148.4163;172.9945;164.2751;168.9447;286.114;308.67;321.897;-9999;199.92;-9999;137.90523;143.86903;113.69041;133.61906;123.691;130.489;85.885;366.329;-9999;-9999;-9999;-9999;4821.05;394.43;8492.7;2525.22;416.697;19.859;1643.59;421.81;1535.99;-9999;162.2;27.18;101.9355;233.22;251.15
21-ago-01;117.4953;102.9109;118.1814;110.8226;119.4211;134.3424;86.1154;210.349;172.0553;145.1385;130.3125;110.4867;116.2862;177.5862;201.2393;252.2951;185.6041;220.4141;190.8359;220.3739;148.379;172.7031;163.9774;168.5196;286.335;309.045;322.303;-9999;198;-9999;136.03943;142.9912;112.60947;132.86175;123.651;130.361;85.078;365.822;-9999;-9999;-9999;-9999;4852.71;397.41;8633.7;2559.56;417.075;19.95;1623.739;418.41;1480.74;-9999;161.5;27.91;102.3521;233.24;251.188
22-ago-01;117.5898;102.7441;118.1536;110.5812;119.4741;134.8964;87.6031;211.6905;171.054;145.7697;131.4034;110.4889;116.6942;177.5935;201.1649;252.1185;185.5326;220.2613;190.7906;220.3181;148.3785;172.6237;163.8544;168.3828;286.066;308.654;322.056;-9999;203.3;-9999;140.24068;145.18006;113.27528;132.92681;123.626;130.251;84.997;365.112;-9999;-9999;-9999;-9999;4856.82;400.75;8540.7;2552.89;418.51;18.958;1635.16;420.16;1515.41;-9999;161.45;27.12;102.0093;233.26;251.223
23-ago-01;117.5905;102.791;117.9358;110.9581;119.4179;134.7891;87.1361;211.4864;168.8556;145.702;131.2089;110.4926;116.5698;177.5776;201.0798;252.0216;185.5086;220.132;190.7489;220.2129;148.3677;172.5639;163.7564;168.2444;286.44;309.136;322.637;-9999;204.56;-9999;140.93346;145.42897;114.13959;134.34493;123.606;130.218;84.302;364.905;-9999;-9999;-9999;-9999;4886.83;404.5;8487.3;2547.15;418.071;19.118;1630.665;418.44;1496.98;-9999;161.68;27.73;102.3238;233.34;251.253
24-ago-01;117.7747;102.6777;117.7122;110.9011;119.6707;134.9173;86.826;212.3148;169.6928;145.8735;131.2458;110.4882;117.1362;177.4657;200.8281;251.6757;185.2586;219.6792;190.4865;219.7704;148.2675;172.2577;163.4;167.8137;286.225;308.784;322.01;-9999;203.75;-9999;140.43142;145.13193;114.35097;134.5411;123.531;130.053;84.084;364.765;-9999;-9999;-9999;-9999;4981.01;410.55;8611.4;2582.72;418.761;18.17;1662.741;419.38;1579.62;-9999;160.05;28.15;102.3069;233.36;251.279
27-ago-01;116.7777;102.829;118.1048;111.3228;119.9048;135.3126;86.8599;212.6096;169.4069;146.3024;131.4159;110.494;117.4203;177.4759;200.8415;251.6941;185.2815;219.8264;190.4987;219.7867;148.2698;172.3304;163.496;167.903;286.07;308.585;321.758;-9999;203.71;-9999;139.97127;145.20631;-9999;-9999;123.535;129.998;84.182;365.124;-9999;-9999;-9999;-9999;4984.6;412.15;8670.2;2582.72;423.912;18.395;1654.72;415.28;1578.33;-9999;160.05;26.67;102.2243;233.36;251.367
28-ago-01;117.1086;102.9449;118.7277;110.9954;120.0094;135.1012;86.81;211.8489;164.8032;146.0757;131.4461;110.4984;116.93;177.7493;201.4514;252.6709;185.7603;220.6568;191.001;220.7206;148.5014;172.9927;164.1581;168.7909;286.992;310.128;323.737;-9999;205.68;-9999;140.94868;146.03317;114.70817;134.52169;123.725;130.387;84.535;365.733;-9999;-9999;-9999;-9999;4896.47;406.86;8544.8;2565.15;422.546;18.71;1629.908;409.78;1526.3;-9999;159.76;27.17;102.1981;233.41;251.4
