;IDX0AUDEURCR;IDX0CHFEURCR;IDX0GBPEURCR;IDX0JPYEURCR;IDX0NOKEURCR;IDX0USDEURCR;IDX0BRLEURCR;IDX0MXNEURCR;IDX0IDREURCR;IDX0INREURCR;IDX0PHPEURCR;IDX0CNYUSDCR;IDX0SGDEURCR;JPMIT1T3;JPMIT3T5;JPMIT5T7;JPMES3T5;JPMES5T7;JPMPT3T5;JPMPT5T7;JPMEMU1T3;JPMEMUGBI;JPMDE5T7;JPMDE7T10;JPMUS3T5;JPMUS5T7;JPMUS7T10;JPILUILA;JPEIGLBL;JGENEMUL;JPEG103;JPEG305;JPEE13YR;JPEE35YR;ER01;ER02;HE00;H0A0;IDX0LX10TUUU;IDX0DBCDXHY5;IDX0DBCDIU5T;IDX0ITRXPX5I;EU0009658152;IDX00000SX7T;SWISSMIC;FTPTT100;GDUEEGF;MSCI0GDLETCF;SPTR;IDX0SPTRFINL;NASDAQ100;NIKKEITR;IDX00GOLDBUL;IDX000WTIOIL;IDX00DJUBSCM;IT0000000BOT;JPMCASH3M
18-giu-99;122.4118;100.5319;110.4573;105.7621;112.4985;114.5756;83.6592;133.5853;144.4745;117.3651;122.3164;102.1363;109.423;162.8131;185.4738;233.0399;170.2688;204.6618;174.3011;203.7024;136.352;159.375;150.6847;156.2623;240.517;255.872;267.306;-9999;151.96;-9999;116.49108;107.65909;-9999;110.85607;112.777;119.97;115.174;363.398;-9999;-9999;-9999;-9999;4765.31;369.9;-9999;2927.6;548.518;45.141;1835.478;379.85;2205.46;-9999;151.9;17.99;80.8426;214.28;229.735
21-giu-99;122.5236;100.8414;110.633;104.6042;112.9914;115.1404;84.0196;134.147;149.6487;117.9491;122.6628;102.1447;109.7927;162.5869;184.9268;231.3816;169.8785;203.4248;174.0272;203.1121;136.186;158.7481;150.0953;155.4383;240.152;255.111;266.259;-9999;152.18;-9999;116.5082;107.62037;-9999;111.01143;112.77;119.935;115.83;363.502;-9999;-9999;-9999;-9999;4823.83;371.48;-9999;2952;559.19;47.056;1843.931;383;2268.66;-9999;151.55;17.71;80.3974;214.3;229.78
22-giu-99;123.551;100.8867;110.8233;105.4025;112.8105;115.3967;83.5824;135.0971;156.9597;118.1554;123.5226;102.1546;110.6696;162.5037;184.5887;230.495;169.559;202.5965;174.2238;202.2967;136.1077;158.3048;149.66;154.7743;239.934;254.684;265.624;-9999;152.36;-9999;116.52038;107.39463;-9999;111.0454;112.662;119.61;115.826;363.542;-9999;-9999;-9999;-9999;4810.32;369.36;-9999;2939.07;562.209;48.702;1826.001;379.68;2209.89;-9999;151.32;17.61;80.2503;214.29;229.793
23-giu-99;124.268;100.7638;110.0089;105.0713;112.8082;115.274;82.925;134.2439;156.7409;117.9587;123.1643;102.1628;110.3741;162.3675;184.0422;229.486;169.1682;201.6988;172.9069;200.7723;136.0123;157.8039;149.1245;154.0638;239.51;253.988;264.556;-9999;151.14;-9999;116.59272;106.77809;-9999;111.22032;112.555;119.325;115.853;363.184;-9999;-9999;-9999;-9999;4775.06;366.93;-9999;2913.97;554.922;50.762;1822.169;374.7;2239.33;-9999;152.42;18.23;80.9268;214.28;229.811
24-giu-99;123.3274;100.664;109.7101;104.3213;112.284;114.4549;82.0548;132.2554;155.8089;116.936;122.0158;102.1793;109.6069;162.1046;183.3011;226.831;168.5655;200.0491;172.5175;199.4848;135.8511;156.8617;148.2464;152.7646;239.289;253.517;263.846;-9999;150.43;-9999;116.30162;106.6953;-9999;111.18009;112.416;118.91;115.906;363.033;-9999;-9999;-9999;-9999;4713.45;364.12;-9999;2878.19;550.459;50.004;1798.552;367.28;2184.87;-9999;152.77;18.05;80.6614;214.3;229.827
25-giu-99;123.7802;100.681;109.4968;104.5082;112.2068;114.2686;82.2344;131.4385;155.0536;116.6745;121.9612;102.1942;109.4323;162.1622;183.5331;227.882;168.8536;200.9186;172.6032;200.0054;135.8918;157.1519;148.6345;153.3503;239.56;253.877;264.343;-9999;149.34;-9999;116.27817;106.00878;-9999;110.86232;112.514;119.032;115.781;363.117;-9999;-9999;-9999;-9999;4664.09;364.2;-9999;2886.59;545.096;49.524;1797.914;369.15;2185.76;-9999;151.84;18.09;80.7722;214.3;229.836
28-giu-99;124.0708;100.6679;110.2082;105.4646;112.2833;115.3753;83.7273;133.852;160.8094;117.8293;122.7535;102.1973;110.2947;162.1573;183.3942;227.823;168.7375;200.6939;172.4618;199.6891;135.8969;157.2207;148.5708;153.2882;240.068;254.697;265.45;-9999;149.69;-9999;116.42296;106.17876;-9999;110.93834;112.481;118.89;116.048;363.241;-9999;-9999;-9999;-9999;4697.94;365.26;-9999;2873.28;550.447;51.63;1820.09;376.84;2243.94;-9999;152.54;18.23;80.5235;214.33;229.885
29-giu-99;124.1124;100.6166;109.6841;106.022;112.7592;115.5211;84.0556;134.4646;157.9713;118.0017;123.0053;102.1994;110.4184;162.2333;183.5518;228.2714;168.7748;200.89;172.6478;200.1086;135.9295;157.3521;148.6456;153.4606;240.282;255.126;266.034;-9999;150.39;-9999;116.71804;106.87426;-9999;111.11401;112.488;118.937;116.103;363.472;-9999;-9999;-9999;-9999;4724.14;367;-9999;2829.02;553.293;53.678;1847.586;381.3;2280.06;-9999;152.54;18.44;80.9865;214.35;229.9
30-giu-99;125.8519;100.3323;109.7029;105.5967;112.79;115.1756;84.7223;135.2972;157.572;117.6845;122.3311;102.2124;110.2667;162.2547;183.6843;228.5855;168.8963;201.1124;172.6869;200.0379;135.9791;157.4648;148.7461;153.5261;241.575;256.987;268.298;-9999;152;-9999;116.78368;107.56586;-9999;111.33904;112.596;119.112;116.429;364.272;-9999;-9999;-9999;-9999;4726.38;367.54;-9999;2834.15;555.816;54.193;1876.783;388.03;2296.77;-9999;153.47;19.29;82.5994;214.37;229.917
01-lug-99;127.1227;100.2709;110.6663;107.1186;113.0995;116.5496;84.8781;136.2566;156.6488;119.0974;123.9211;102.2291;111.7772;162.3365;183.7502;228.2105;168.8593;200.4469;172.8374;199.8359;136.0005;157.2691;148.5588;153.133;241.279;256.448;267.63;-9999;151.84;-9999;116.88593;107.26484;-9999;111.29959;112.591;119.131;116.926;364.717;-9999;-9999;-9999;-9999;4823.39;373.82;-9999;2910.57;564.188;53.772;1888.149;390.12;2322.32;-9999;153.94;19.39;82.0516;214.43;229.943
02-lug-99;127.3358;100.1369;110.8928;106.7151;113.2039;116.3449;85.2552;136.8461;156.5157;118.8908;124.0153;102.243;111.5525;162.3872;183.8117;227.8388;168.9057;200.3422;172.709;199.4744;136.0365;157.2132;148.5743;153.0022;241.471;256.76;267.979;-9999;151.58;-9999;117.03664;107.14323;-9999;111.18299;112.511;118.878;116.952;364.934;-9999;-9999;-9999;-9999;4851.55;373.78;-9999;2911.93;570.133;54.242;1902.177;393.97;2347.88;-9999;154.05;19.69;81.9657;214.45;229.956
05-lug-99;127.212;100.2581;110.8753;105.7784;113.33;116.6523;85.188;137.3251;160.5254;119.5373;123.6294;102.2545;111.9306;162.3944;183.8188;227.4755;168.8874;200.0207;172.7278;199.3407;136.0567;157.123;148.5048;152.7382;241.471;256.76;267.979;-9999;-9999;-9999;-9999;-9999;-9999;-9999;112.634;118.928;117.03;365.202;-9999;-9999;-9999;-9999;4956.04;378.62;-9999;2957.09;579.601;55.127;-9999;-9999;-9999;-9999;-9999;-9999;81.9657;214.48;230.008
06-lug-99;126.2216;100.3682;109.8583;105.7374;113.4552;116.5156;84.7006;137.3691;159.4504;119.505;123.669;102.2738;111.764;162.2391;183.3012;226.4767;168.566;199.1192;172.8331;198.5154;135.9593;156.6321;148.0082;152.0285;241.115;256.257;267.312;-9999;152.43;-9999;117.05278;107.96872;-9999;111.40608;112.462;118.653;117.056;365.295;-9999;-9999;-9999;-9999;4952.48;376.85;-9999;2969.93;578.869;53.67;1898.149;394.29;2330.73;-9999;150.09;19.78;80.9148;214.47;230.024
07-lug-99;127.5326;100.1995;109.892;105.8547;113.1629;116.6867;84.8181;137.8834;160.5823;119.543;123.2225;102.2856;111.9064;162.1992;182.9741;225.5741;168.2926;198.2291;172.2333;197.7122;135.9411;156.2047;147.5313;151.3115;240.885;255.894;266.837;-9999;152.18;-9999;117.00826;107.54641;-9999;111.21503;112.399;118.417;117.083;365.216;-9999;-9999;-9999;-9999;4930.03;374.3;-9999;2959.52;577.009;51.333;1909.133;394.28;2340.67;-9999;150.21;19.77;81.3033;214.48;230.04
08-lug-99;127.4673;100.2003;109.7964;105.6198;112.824;116.6982;83.8034;137.9664;161.5066;119.3319;122.6142;102.3023;111.843;162.0454;182.5051;225.0796;167.8831;197.783;172.4546;197.2607;135.7924;155.9144;147.1615;151.0419;241.509;256.782;267.98;-9999;151.63;-9999;116.77255;106.99704;-9999;110.98886;112.291;118.078;117.109;365.7;-9999;-9999;-9999;-9999;4931.2;377.6;-9999;2941.54;572.174;51.852;1907.283;391.12;2374.58;-9999;150.33;19.71;81.3624;214.52;230.058
09-lug-99;127.5736;100.03;109.3731;105.9827;112.6893;117.0074;83.7578;137.9104;161.8715;119.8417;123.0068;102.3232;111.9992;162.1439;182.7123;226.1746;168.0203;198.4835;171.8813;197.9263;135.8667;156.2748;147.4469;151.5873;241.586;256.811;267.989;-9999;150.84;-9999;116.91836;106.68336;-9999;111.34722;112.38;118.224;117.057;365.862;-9999;-9999;-9999;-9999;4945.45;382.68;-9999;2943.9;574.668;52.461;1919.402;393.54;2393.02;-9999;150.85;19.94;81.4543;214.55;230.075
12-lug-99;127.2443;100.2284;110.5649;106.758;112.9036;117.6072;83.0318;137.4756;162.7623;120.7881;124.4216;102.3405;112.5716;162.0936;182.7571;226.4614;168.099;198.7748;171.9422;197.7948;135.8503;156.3746;147.511;151.7515;242.412;258.159;269.844;-9999;148.37;-9999;115.33908;105.20897;-9999;111.08426;112.374;118.172;117.257;366.522;-9999;-9999;-9999;-9999;4945.59;381.96;-9999;2936.74;570.002;53.314;1913.687;390.4;2384.24;-9999;150.17;19.91;81.4973;214.59;230.125
13-lug-99;126.5583;100.2489;110.3315;107.2581;112.3414;117.3298;83.2498;137.8273;162.6878;120.5234;123.9055;102.3596;112.3046;162.3731;183.5207;227.86;168.7094;200.0261;172.5439;199.1499;136.0602;157.0867;148.2528;152.6401;242.634;258.489;270.335;-9999;148.56;-9999;115.49429;105.21199;-9999;110.27581;112.587;118.681;117.283;366.994;-9999;-9999;-9999;-9999;4874.65;373.46;-9999;2891.94;565.429;52.455;1906.188;386.6;2373.66;-9999;150.57;20.15;81.4875;214.61;230.142
14-lug-99;126.8974;100.7776;111.1809;108.0531;112.9998;117.7351;83.7611;139.6955;160.7725;120.9463;124.5995;102.3738;112.7645;162.4627;183.5047;227.8458;168.7999;199.9881;172.5012;199.1644;136.1501;157.1476;148.3112;152.6925;242.333;258.089;269.856;-9999;149.64;-9999;116.11278;106.14051;-9999;110.1611;112.599;118.729;117.309;367.086;-9999;-9999;-9999;-9999;4895.84;376.01;-9999;2904.29;562.54;50.466;1912.54;384.56;2417.05;-9999;149.86;19.92;81.5181;214.64;230.161
15-lug-99;126.7917;100.1171;110.6512;107.2479;112.5904;117.1227;84.0213;138.1362;161.5548;120.268;124.2008;102.3984;112.0311;162.0152;182.3807;225.5341;167.8225;198.038;171.9809;197.6907;135.7753;156.0262;147.0981;151.2406;242.48;258.259;270.128;-9999;149.85;-9999;116.12115;106.26441;-9999;110.81915;112.293;117.981;117.335;367.593;-9999;-9999;-9999;-9999;4943.49;378.52;-9999;2949.99;567.668;49.701;1928.209;388.48;2429.27;-9999;149.74;20.16;82.3535;214.68;230.18
16-lug-99;126.5317;100.0162;110.344;107.1393;112.7081;117.0079;84.5534;139.071;161.0997;120.256;123.7179;102.4319;111.5334;162.0347;182.5069;226.4115;167.9179;198.6542;171.7331;197.9987;135.7623;156.3696;147.4016;151.791;242.98;258.969;270.992;-9999;149.82;-9999;116.50218;106.33701;-9999;110.71455;112.265;117.922;117.361;368.024;-9999;-9999;-9999;-9999;4932.92;377.74;-9999;2944.72;567.409;48.612;1940.758;392.14;2459.48;-9999;149.63;20.62;82.2561;214.67;230.179
19-lug-99;123.3677;100.2731;110.4759;108.4027;112.7125;115.7482;83.9767;138.2403;159.6644;119.0389;122.1081;102.4575;110.7668;161.8553;182.1192;226.1359;167.7537;198.5196;171.4865;197.6095;135.6548;156.1815;147.1878;151.5796;243.147;259.187;271.253;-9999;150.31;-9999;117.00819;106.85012;-9999;110.97449;112.192;117.991;117.102;368.108;-9999;-9999;-9999;-9999;4928.94;379.11;-9999;2909.65;570.531;46.546;1925.547;389.61;2424.62;-9999;149.22;20.44;82.3748;214.65;230.228
20-lug-99;121.4626;100.3512;108.9448;106.8705;111.9132;114.7921;81.9898;136.2363;158.0454;118.104;121.1388;102.4772;109.5009;162.0882;182.7186;227.5653;168.2301;199.5273;172.2698;198.3931;135.8324;156.8367;147.8715;152.4571;243.486;259.506;271.62;-9999;149.76;-9999;116.9472;106.32228;-9999;111.10764;112.356;118.298;117.128;368.276;-9999;-9999;-9999;-9999;4816.84;372.6;-9999;2868.48;566.556;47.506;1883.761;383.45;2329.32;-9999;149.34;19.37;81.3351;214.66;230.244
21-lug-99;120.6325;100.3143;108.3633;106.5139;110.9549;113.7099;81.5374;135.2624;155.7922;116.9724;120.0299;102.5114;108.9344;162.4199;183.5585;228.7033;168.8185;200.4742;172.7334;199.4606;136.076;157.3834;148.5097;153.1514;243.457;259.366;271.323;-9999;149.39;-9999;116.49277;105.90229;-9999;111.17012;112.524;118.697;116.76;368.339;-9999;-9999;-9999;-9999;4744.46;367.01;-9999;2840.58;563.242;48.025;1886.858;379.39;2363.63;-9999;150.56;19.38;81.7922;214.69;230.264
22-lug-99;120.6065;100.0551;108.4967;107.6247;110.8653;113.6346;81.3904;134.8337;154.369;116.7968;119.6718;102.5451;108.881;162.4344;183.3641;227.8004;168.823;200.1407;172.8891;199.0555;136.0091;157.1072;148.2532;152.8592;242.584;257.992;269.421;-9999;148.98;-9999;116.34599;105.68793;-9999;110.83219;112.484;118.632;116.787;367.343;-9999;-9999;-9999;-9999;4699.05;362.13;-9999;2826.19;560.517;47.162;1861.825;380.84;2281.92;-9999;150.85;19.71;82.7441;214.73;230.293
23-lug-99;120.4764;99.9696;108.2803;107.8581;111.2104;113.6889;81.3476;134.3472;151.1576;116.8619;120.3247;102.5804;108.6324;162.3231;183.2804;227.5918;168.7182;199.8407;172.741;198.9112;136.0079;157.0397;148.2705;152.7609;242.287;257.428;268.626;-9999;148.24;-9999;116.00391;105.26465;-9999;110.50204;112.444;118.548;116.813;366.62;-9999;-9999;-9999;-9999;4650.6;357.47;-9999;2785.65;547.176;46.993;1856.312;376.19;2302.02;-9999;150.03;20.49;84.4966;214.72;230.306
26-lug-99;118.7578;100.2516;107.6823;106.2076;109.9523;112.1728;80.0496;132.6133;146.9869;115.3127;118.5921;102.6179;108.0285;162.3691;183.4255;227.3552;168.8687;199.6073;172.612;198.8951;136.0721;157.0723;148.4147;152.7031;242.158;257.17;268.259;-9999;148;-9999;116.15333;104.99305;-9999;110.54503;112.518;118.71;116.576;366.476;-9999;-9999;-9999;-9999;4592.35;349.31;-9999;2768.95;536.467;45.194;1843.754;377.69;2233.51;-9999;149.57;20.52;83.8598;214.72;230.359
27-lug-99;118.6776;100.4135;107.8646;106.6938;109.8776;112.342;80.7484;133.3322;148.2121;115.459;119.0398;102.646;108.198;162.3566;183.4048;227.3357;168.7645;199.5598;172.5389;198.6424;136.0639;157.0315;148.3677;152.6783;242.456;257.69;269.086;-9999;149.24;-9999;116.46561;105.79379;-9999;110.77838;112.504;118.657;116.415;365.998;-9999;-9999;-9999;-9999;4605.68;350.29;-9999;2811.01;538.712;45.264;1864.384;380.79;2308.78;-9999;149.39;20.38;83.1622;214.73;230.376
28-lug-99;118.6102;100.5792;108.0042;106.9064;109.403;112.0369;81.5662;133.2418;151.8082;115.068;118.749;102.6604;108.4376;162.3228;183.264;227.0904;168.7038;199.4592;172.7556;198.7535;136.0597;156.9642;148.2859;152.6364;242.395;257.652;269.095;-9999;149.74;-9999;116.56353;105.98968;-9999;110.89557;112.483;118.591;115.64;365.871;-9999;-9999;-9999;-9999;4602;350.29;-9999;2826.44;544.649;46.007;1868.047;379.45;2333.78;-9999;149.51;20.54;83.2277;214.72;230.397
29-lug-99;118.6525;100.7215;108.7582;106.7005;109.6027;111.3896;81.0551;131.6566;150.8262;114.5322;118.0916;102.6781;107.1273;162.1141;182.5583;225.6525;168.2171;198.2533;172.1927;197.4871;135.9171;156.3072;147.6378;151.7454;241.786;256.672;267.832;-9999;149.42;-9999;116.53883;106.18462;-9999;111.21088;112.355;118.241;115.567;365.201;-9999;-9999;-9999;-9999;4471.54;342.09;-9999;2745.79;544.449;46.609;1835.016;372.62;2263.06;-9999;151.2;20.97;83.9436;214.88;230.412
30-lug-99;119.0726;100.644;109.18;107.6688;110.1668;111.5462;80.8046;132.2913;149.9897;114.7218;117.675;102.7053;107.6282;161.956;181.9467;224.8972;167.7787;197.6579;171.5062;197.8917;135.7614;155.8785;147.1577;151.2793;241.644;256.394;267.447;-9999;149.47;-9999;116.58472;106.4778;-9999;111.1217;112.279;117.94;115.127;364.678;-9999;-9999;-9999;-9999;4544.52;345.31;-9999;2797.14;540.459;47.48;1818.181;363.91;2270.93;-9999;150.68;20.53;83.7279;214.89;230.427
31-lug-99;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;112.281;117.944;115.299;364.762;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02-ago-99;119.0493;100.6237;109.0239;107.982;110.7561;111.766;79.8179;132.5792;150.5535;114.8689;117.6299;102.7388;108.0197;161.7325;181.2513;223.5375;167.183;196.4882;170.9733;197.2831;135.5974;155.2862;146.5719;150.5285;241.583;256.304;267.283;-9999;148.49;-9999;116.4261;105.80277;-9999;111.01004;112.131;117.431;115.125;364.393;-9999;-9999;-9999;-9999;4538.06;345.21;-9999;2823.26;531.373;48.299;1817.27;363.21;2264.81;-9999;150.09;20.45;84.6687;214.88;230.476
03-ago-99;119.8409;100.5194;109.4305;107.2479;110.7928;111.8922;80.4017;132.5488;150.2279;115.0114;117.7942;102.7656;107.8909;161.6878;181.1019;223.2632;167.147;196.501;170.8499;195.2243;135.5823;155.2133;146.5079;150.4456;241.44;255.989;266.763;-9999;147.51;-9999;116.32652;105.25264;-9999;110.99385;112.056;117.366;114.686;363.463;-9999;-9999;-9999;-9999;4513.84;342.89;-9999;2806.36;535.321;48.476;1809.297;358.32;2239.18;-9999;150.5;20.3;84.9197;214.89;230.491
04-ago-99;119.5633;100.4567;108.4392;107.1742;110.4737;110.9062;79.2675;131.4837;148.0995;113.9492;115.998;102.8012;107.2908;161.7712;181.1916;223.5693;167.2198;196.3945;170.8932;195.2766;135.6478;155.2918;146.4943;150.4497;241.6;256.131;266.869;-9999;147.1;-9999;115.8919;104.85761;-9999;110.94909;112.122;117.471;114.715;362.69;-9999;-9999;-9999;-9999;4484.67;342.89;-9999;2799.53;535.39;47.552;1786.507;352.33;2204.33;-9999;150.56;20.44;85.9363;214.93;230.509
05-ago-99;118.9914;100.3281;108.1552;107.2304;110.4678;111.103;78.641;130.8965;147.0377;114.0899;116.4354;102.8052;107.6286;161.6125;180.6122;222.2466;166.6202;195.2141;170.4201;194.3104;135.496;154.697;145.8707;149.6384;242.241;256.967;268.013;-9999;146.4;-9999;115.83711;104.36238;-9999;110.9689;111.997;117.04;113.18;362.735;-9999;-9999;-9999;-9999;4387.27;336.77;-9999;2739.44;527.767;46.508;1798.11;354.08;2232.23;-9999;150.21;20.56;86.061;214.96;230.528
06-ago-99;118.9411;100.3837;108.0716;106.9867;110.5935;111.2795;78.8594;131.3296;146.6355;114.1426;115.9071;102.8469;108.252;161.4806;180.1415;221.0951;166.2022;194.085;170.3849;193.1192;135.3786;154.2208;145.3753;148.9357;241.041;255.138;265.631;-9999;146.56;-9999;116.00641;104.44049;-9999;110.97217;111.901;116.86;113.207;361.56;-9999;-9999;-9999;-9999;4405.96;336.93;-9999;2748.15;522.815;45.319;1780.062;344.22;2212.15;-9999;150.56;20.88;86.8363;214.98;230.548
09-ago-99;119.4475;100.2886;108.1928;107.0298;111.0765;111.5504;78.5082;131.8528;146.1873;114.5947;115.8356;102.8875;108.5348;161.45;180.2556;220.9894;166.1874;194.0978;170.3292;192.9076;135.3432;154.2328;145.3181;148.906;240.253;253.954;264.053;-9999;146.36;-9999;115.93223;104.45196;-9999;110.27979;111.921;116.857;112.542;361.331;-9999;-9999;-9999;-9999;4481.08;341.97;-9999;2755.32;525.558;43.688;1776.679;346.08;2187.61;-9999;150.97;21.27;87.3788;215;230.6
10-ago-99;119.1519;100.2204;108.8265;107.322;111.0029;111.6348;78.4492;132.265;140.033;114.6424;116.7976;102.9351;108.6432;161.601;180.646;221.5729;166.5286;194.8083;170.1468;193.5421;135.4853;154.5688;145.7188;149.5356;240.168;253.635;263.606;-9999;145.47;-9999;115.67521;104.18863;-9999;110.56929;111.968;116.963;112.45;360.576;-9999;-9999;-9999;-9999;4417.99;336.07;-9999;2688.71;526.906;41.095;1754.328;340.48;2163.77;-9999;151.26;21.3;87.4779;214.98;230.616
11-ago-99;119.4496;100.2409;109.2257;107.3115;111.4212;112.1914;79.141;134.8049;128.9362;115.115;116.361;102.9825;108.6637;161.7393;181.0251;221.5843;166.8599;194.8582;170.6383;193.9909;135.597;154.6787;145.8593;149.611;240.541;254.142;264.281;-9999;147.13;-9999;116.57763;105.1028;-9999;110.70091;112.055;117.21;112.304;360.595;-9999;-9999;-9999;-9999;4438.35;338.79;-9999;2704.94;524.394;39.838;1782.852;347.25;2241.8;-9999;152.25;21.52;87.66;215.02;230.634
12-ago-99;119.0054;100.2711;108.9506;107.2328;111.4987;112.0349;78.6575;133.928;128.8135;115.0605;115.937;103.0306;108.5911;161.9562;181.5996;222.8368;167.4538;196.3062;171.2585;194.9165;135.7868;155.2918;146.5238;150.4866;240.644;254.188;264.188;-9999;147.72;-9999;117.06761;105.41019;-9999;110.70884;112.203;117.443;112.396;360.959;-9999;-9999;-9999;-9999;4549.65;345.2;-9999;2767.41;528.609;41.974;1777.751;346.4;2214.33;-9999;153.12;21.48;86.7676;215.06;230.652
13-ago-99;120.8133;100.2183;109.6068;107.8029;111.4145;113.1813;79.2585;135.8321;132.6523;116.2395;117.2991;103.0719;109.5657;162.1045;181.9032;223.5108;167.7294;196.7658;171.5388;195.607;135.891;155.5727;146.8359;150.8079;241.623;255.685;265.994;-9999;148.37;-9999;117.3895;105.68081;-9999;110.7964;112.285;117.555;112.424;361.677;-9999;-9999;-9999;-9999;4637.29;353.16;-9999;2808.69;530.315;41.476;1818.245;359.44;2307.06;-9999;153.24;21.67;87.0918;215.08;230.669
16-ago-99;119.9789;100.2647;109.2471;108.8145;111.5361;113.0436;78.9408;136.0801;137.7563;116.2582;116.7534;103.4047;109.7143;162.0958;181.8259;223.014;167.5249;196.4004;171.1175;195.2873;135.8521;155.3828;146.6221;150.5314;241.651;255.84;266.207;-9999;148.64;-9999;117.47993;105.8547;-9999;110.95374;112.304;117.707;112.508;361.928;-9999;-9999;-9999;-9999;4655.35;354.53;-9999;2810.69;535.972;41.756;1822.529;359.57;2313.08;-9999;152.95;21.36;87.0484;215.13;230.723
17-ago-99;120.9646;100.2628;110.1715;110.2049;111.9583;113.8519;79.7485;137.5577;137.709;117.1306;117.1263;103.7447;109.8285;162.2114;182.0469;223.8973;167.9395;197.1268;171.6381;195.875;135.9682;155.7486;147.0737;151.0331;242.285;257.058;267.801;-9999;149.7;-9999;117.90502;106.26002;-9999;111.00869;112.406;117.921;113.54;362.395;-9999;-9999;-9999;-9999;4684.36;358.18;-9999;2779.6;532.785;42.527;1840.881;370.63;2337.37;-9999;153.7;21.74;87.7215;215.15;230.743
18-ago-99;120.5271;100.3831;109.9428;112.1147;111.9609;113.7232;78.362;137.1227;143.8769;117.0117;116.9751;104.0729;110.2159;162.4112;182.4142;224.2929;168.3239;197.6533;171.7192;196.3309;136.1258;155.9585;147.2758;151.1951;242.431;257.216;268.003;-9999;149.14;-9999;117.40409;105.79351;-9999;111.18464;112.501;118.126;113.882;362.33;-9999;-9999;-9999;-9999;4673.03;359.01;-9999;2795.53;530.743;43.853;1825.561;368.36;2317.39;-9999;152.65;21.52;87.2068;215.22;230.772
19-ago-99;116.815;100.4629;109.683;111.0358;111.7238;112.4103;76.4015;135.6852;139.3227;115.6744;116.0043;104.1025;108.6184;162.5252;182.647;224.3457;168.4211;197.5588;171.7564;196.4602;136.1981;156.0937;147.5036;151.4944;242.303;256.924;267.633;-9999;149.35;-9999;117.49733;106.01045;-9999;110.99035;112.537;118.198;113.91;361.978;-9999;-9999;-9999;-9999;4598.85;357.29;-9999;2757.76;529.207;46.383;1812.979;363.06;2278.79;-9999;152.07;21.77;87.8271;215.28;230.789
20-ago-99;116.7196;100.5884;109.2904;111.0419;111.2007;112.1271;77.8203;135.2148;140.0455;115.0249;115.4289;104.1418;108.454;162.5962;182.7756;224.5257;168.4959;197.6766;171.7873;196.6644;136.2661;156.2018;147.5904;151.6063;242.539;257.263;268.099;-9999;147.93;-9999;117.02423;105.08773;-9999;110.76341;112.583;118.277;113.907;361.99;-9999;-9999;-9999;-9999;4643.74;362.18;-9999;2786.09;534.05;47.377;1830.816;367.78;2315.07;-9999;151.14;21.65;87.5806;215.32;230.804
23-ago-99;118.4747;100.2495;110.2195;112.5729;111.624;114.0847;80.2139;137.7682;138.8158;117.2039;117.4692;104.1925;109.7704;162.6543;182.8525;225.2527;168.5606;198.1075;171.8312;197.1597;136.2738;156.4077;147.729;151.9123;242.534;257.222;268.107;-9999;148.41;-9999;117.3959;105.47289;-9999;110.72165;112.653;118.376;114.053;361.94;-9999;-9999;-9999;-9999;4691.76;369.39;-9999;2850.67;544.552;47.378;1863.176;376.47;2385.87;-9999;149.16;21.61;87.5966;215.4;230.858
24-ago-99;118.3605;100.2421;109.2473;112.8442;111.4113;113.5125;77.8735;137.7309;136.8365;116.6322;116.5363;104.2375;108.7863;162.5254;182.6773;224.9998;168.3315;197.8557;171.8022;196.9608;136.1695;156.2512;147.5392;151.8017;243.225;258.099;269.098;-9999;148.89;-9999;117.77664;105.76973;-9999;110.4552;112.56;118.166;114.285;362.082;-9999;-9999;-9999;-9999;4727.66;371.02;-9999;2847.49;544.496;47.963;1867.68;377.91;2404.82;-9999;148.29;21.2;87.2902;215.38;230.875
25-ago-99;118.8874;100.1892;109.8641;113.8545;110.5304;114.8315;79.5519;139.4566;142.1589;118.006;117.6651;104.4745;110.0305;162.6795;183.1206;226.0955;168.7222;198.8122;171.9217;197.517;136.3306;156.7381;148.0398;152.495;244.013;259.511;271.097;-9999;150.37;-9999;118.43334;106.28689;-9999;110.3882;112.663;118.406;114.313;362.714;-9999;-9999;-9999;-9999;4821.95;375.24;-9999;2872.03;554.995;47.918;1892.866;374.51;2460.92;-9999;148;20.41;86.3602;215.41;230.893
26-ago-99;118.0052;100.1919;109.7631;113.0387;110.3041;114.5248;78.8402;138.5894;140.8963;117.7624;117.433;104.5219;109.678;162.5756;182.8687;225.8507;168.4768;198.5823;171.8947;197.5191;136.2181;156.5346;147.7912;152.2583;243.67;259.151;270.653;-9999;150.22;-9999;118.50901;106.71158;-9999;110.38911;112.595;118.38;114.489;362.671;-9999;-9999;-9999;-9999;4816.72;375.36;-9999;2878.54;551.794;47.97;1865.79;367.59;2417.3;-9999;148.23;20.95;86.2956;215.44;230.91
