Row,RPI,UNRATE,DPCERA3M086SBEA,CPIAUCSL,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
01-Mar-1959,0.00641527991278945,-0.300000000000001,0.00947617758501984,-0.000690250058376307,-0.786340232068331,-0.0893650291610141,0.0134163505181339,-0.15085135450839,0.0377956169885845,0.113225492708092,0.121483521208886,0.0281662100154468
01-Apr-1959,0.00607380876050634,-0.399999999999999,-0.00361742154048139,0.00138014331649217,-0.864875837087984,-0.122525007794202,-0.128131947065763,0.00866313815862645,0.128096696074883,0.0913210378875156,-0.0517965078630021,0.0365316623295519
01-May-1959,0.00599445169014512,-0.100000000000001,0.0119362673139189,0.00172312795278184,-0.622044889493706,-0.142969998334072,0.0152932906196341,-0.0182740740685374,0.0507379180667799,0.181419039327852,0.0581989725793049,-0.0893297498099049
01-Jun-1959,0.00332424445230561,-0.0999999999999996,0.00368108394007116,0.00033931473687776,-0.341487848180384,0.10732246407407,-0.0264818053769098,0.075641766625704,-0.0542232440047,0.22924308027052,0.0475957766752882,0.0888880120873877
01-Jul-1959,-0.000766153097832678,0.0999999999999996,-0.00336045122209949,-0.00103441276196747,0.0536547026255523,0.219204877745791,0.104858486825469,-0.0733480025576802,-0.254987087499655,0.401668023225792,0.248158583273211,-0.236633314585319
01-Aug-1959,-0.00542238162258535,0.100000000000001,0.00596635053492589,-0.000344524740830909,0.828560446741671,0.414264357450768,0.147122402326829,-0.139535650647884,-0.667336492130474,0.504957741182013,0.252487665493193,-0.34633212444155
01-Sep-1959,0.000385232749548159,0.3,0.00998819243124327,0.00136740028508742,0.0431640626799682,0.155668501310754,-0.197419180366151,0.198588148393399,-0.3937631258608,0.0212966225507753,-0.174948373142148,-0.034555277999869
01-Oct-1959,0.00175307367184718,0.2,-0.00685946125643033,0.00101694201301417,0.306189967712296,0.139595711277735,0.200064812532921,-0.0407829008059135,-0.1927026950489,0.130445239015653,0.0267562736332689,-0.0717150922130212
01-Nov-1959,0.0074482692019604,0.0999999999999996,-0.000423661500802641,-0.00341297259623996,0.0255600935220706,0.0437135343479972,0.126872926735917,-0.01505338333016,-0.0258249948392929,0.169369707083209,-0.0531308951002047,0.0408761756301207
01-Dec-1959,0.00953754697703602,-0.5,-0.00111296616942047,0.00204220629179819,-1.43432280360526,-0.53318163326816,-0.176682813837721,0.0491384946289823,0.322665955478857,-0.55523872134565,-0.338822402542906,0.0240976765282379
01-Jan-1960,0.00431676452487118,-0.0999999999999996,0.00275365562688057,-0.00340321364717333,-0.55553685022018,-0.442389129646995,0.105511608065545,0.10726727536995,0.188835720299721,-0.257504302633264,-0.260237389924752,0.0249255673855676
01-Feb-1960,0.000668896346010861,-0.4,0.00437960755973288,0.00272201471075029,-0.0328310507252054,0.139734334567749,-0.0521155839567136,-0.102780934896869,0.0231545343144467,0.405771273757578,0.00133965046334802,-0.298836642165282
01-Mar-1960,0.00183716126829125,0.600000000000001,0.0140637529085734,-0.00136100735537514,0.711724238194417,0.154699699639073,0.117273236354813,-0.0585053931100556,-0.00715456148161334,0.112758557582086,-0.183732322847972,-0.391383905652733
01-Apr-1960,0.0034979630902896,-0.2,0.0153524214679988,0.00441052453733004,-0.124068100631829,0.148710236435686,-0.0674753386251686,-0.166233740577975,-0.00775105954730684,0.0373570579272703,0.306124816359174,-0.883670232810802
01-May-1960,0.00253254032770567,-0.100000000000001,-0.020348788685101,-0.00339546777617805,0.494917994656484,-0.0465652100171931,0.166147101091552,0.177240125421612,-0.13333334908827,-0.0266710021363134,-0.233096202525301,0.409496971817571
01-Jun-1960,0.000456005811612314,0.300000000000001,-0.000260912674008296,0.000336751487962417,0.702214853799044,0.068804947040586,0.00215609403324354,-0.231308174090567,-0.0495075673345582,-0.00197452497478818,0.0742946890101128,-0.210843070912064
01-Jul-1960,0.00103560416040782,0.0999999999999996,0.00203331578617361,-0.0033802065105073,0.49437521323323,0.0544576206196873,0.0346331414456127,-0.0438184317176092,-0.036875326125619,-0.0117903718646937,-0.169083595575804,-0.0470279143359838
01-Aug-1960,-0.000538380316568166,0.0999999999999996,-0.000937939727976289,0.00405679652278579,0.309254574445104,0.0479968038719421,-0.0215091097500123,-0.0903901642076737,-0.0150410522604723,-0.0452133182774805,-0.024008762648186,-0.0498407882661434
01-Sep-1960,0.00149018986099847,-0.0999999999999996,0.00478469812333637,-0.00202839826139289,0.419047901107138,-0.0574892024611963,0.0487435484679837,0.109035727411848,-0.222725995361742,-0.0504415902981678,-0.0226308458758013,-0.128270113590302
01-Oct-1960,0.00285000502693133,0.6,0.00481354931649935,0.00471698987813873,0.524761172288521,-0.0259926108100491,-0.193335991491418,0.144122778440184,-0.204865891562651,-0.173524837130566,-0.309811936112793,-0.222616321723733
01-Nov-1960,-0.00454734144485958,0,-0.00346549083475534,-0.00370909461391467,0.718565642316581,0.0628599121053504,0.0823590040840501,-0.0476669740715796,-0.375383965192271,0.126782322289497,0.215910985049455,-0.0686052363179448
01-Dec-1960,-0.00519265887929432,0.5,-0.0123033561143986,-1.01483010706005e-06,0.908574453562689,-0.0207822159367884,0.0117499838541872,-0.0570337366644815,-0.391720680155319,0.119218979895999,-0.0250555827769349,-0.148738411263968
01-Jan-1961,0.0097400003241539,0,0.00251467022706731,-1.01278853659181e-06,0.415328482953218,-0.349569103337907,0.00195420292170813,-0.0440879291349418,-0.287124133295573,-0.0927145438781099,0.0804163292998001,-0.075919413727592
